idpoi,title,layer,type,subcategoria,address,postcode,phone,web,description,image_uri,lat,lon,mp3_uri,lang
8592,Playa de Rodas,lugares,36,Playas,"Illa do Faro, Islas Cíes",36211,,,Es la playa más grande e importante del Parque Natural Illas Cies en el cual se halla integrada. Fue calificada como la mejor playa del mundo por prestigioso diario The Guardian.,http://www.turismodevigo.org/sites/turismodevigo/files/lug227.jpg,42.221891869113,-8.903471372054128,,es-ES
8603,Faro de Bicos,lugares,36,Faro,Isla del Medio o del Faro - Islas Cíes,36211,,,El faro funciona con energía solar y junto a él empieza la zona de reserva de aves marinas. Las vistas de acantilados desde su situación hacen que su visita merezca la pena. Está datado en 1918.,http://www.turismodevigo.org/sites/turismodevigo/files/lug238.jpg,42.19156442657,-8.890856040937,,es-ES
8602,Faro de Cíes,lugares,36,Faro,"Illa do Faro, Islas Cíes",36211,,,"Se sitúa en el punto más alto de la isla del Medio, fue construido entre 1851 y 1853 y está a 178 metros de altura sobre el nivel del mar.",http://www.turismodevigo.org/sites/turismodevigo/files/lug237.jpg,42.2141914894239,-8.91480704742764,,es-ES
8601,Faro de A Porta,lugares,36,Faro,"Illa do Faro, Islas Cíes",36211,,,El faro funciona con energía solar y junto a él empieza la zona de reserva de aves marinas. Las vistas de acantilados desde su situación hacen que su visita merezca la pena. Está datado en 1918.,http://www.turismodevigo.org/sites/turismodevigo/files/lug236.jpg,42.2122167379365,-8.91289195374303,,es-ES
8604,Faro do Peito ou Monte Agudo,lugares,36,Faro,Illa de Monteagudo o Isla Norte - Islas Cíes,36211,,,"Este faro, datado en 1904, sirve para marcar la entrada norte de la ría de Vigo junto con los faros de Cabo Home en la costa del Morrazo. Se encuentra en el límite de la isla Norte.",http://www.turismodevigo.org/sites/turismodevigo/files/lug239.jpg,42.2435449662904,-8.90313444061437,,es-ES
8590,Playa de San Martiño,lugares,36,Playas,"Illa de San Martiño, Islas Cíes",36211,,,Playa abierta con una ocupación alta en la época de verano. Su longitud aproximada es de 500 metros y está galardonada con la bandera azul.,http://www.turismodevigo.org/sites/turismodevigo/files/lug225.jpg,42.2013813991292,-8.904989325854,,es-ES
8591,Nosa Señora,lugares,36,Playas,"Illa do Faro, Islas Cíes",36211,,,"Playa de arena fina, resguardada del viento y con una ocupación media en la época de verano. Su longitud aproximada es de 130 metros.",http://www.turismodevigo.org/sites/turismodevigo/files/lug226.jpg,42.2159549819256,-8.90303979922385,,es-ES
8593,Areiña,lugares,36,Playas,"Illa do Faro, Islas Cíes",36211,,,"Playa de arena fina, resguardada del viento y con una ocupación baja en la época de verano. Su longitud aproximada es de 40 metros.",http://www.turismodevigo.org/sites/turismodevigo/files/lug228.jpg,42.2270671183612,-8.89761741239897,,es-ES
8594,Area Grande do Mixueiro,lugares,36,Playas,"Illa de Monteagudo, Islas Cíes",36211,,,"Playa de arena fina, resguardada del viento y con una ocupación media en la época de verano. Su longitud aproximada es de 30 metros.",http://www.turismodevigo.org/sites/turismodevigo/files/lug229.jpg,42.2272856804418,-8.89660195990717,,es-ES
8595,Playa Figueiras,lugares,36,Playas,"Illa de San Martiño, Islas Cíes",36211,,,Playa abierta con una ocupación alta en la época de verano. Su longitud aproximada es de 300 metros y está galardonada con la bandera azul.,http://www.turismodevigo.org/sites/turismodevigo/files/lug230.jpg,42.2303072518779,-8.90090679216474,,es-ES
8596,Area de Freixeiros,lugares,36,Playas,"Illa do Faro, Islas Cíes",36211,,,"Playa de arena fina, resguardada del viento y con una ocupación media en la época de verano. Su longitud aproximada es de 270 metros.",,42.2289335893848,-8.89867566474834,,es-ES
8597,Playa das Margaritas,lugares,36,Playas,"Illa do Faro, Islas Cíes",36211,,,"Playa de arena fina, resguardada del viento y con una ocupación media en la época de verano. Su longitud aproximada es de 40 metros.",http://www.turismodevigo.org/sites/turismodevigo/files/lug232.jpg,42.2370328651189,-8.90119976041642,,es-ES
