idpoi;title;layer;type;subcategoria;address;postcode;phone;web;description;image_uri;lat;lon;mp3_uri;lang
8600;O Baluarte;lugares;44;Playas;;36212;;;Playa de arena fina, abierta al océano y con una ocupación media en la época de verano. Su longitud aproximada es de 120 metros.;http://www.turismodevigo.org/sites/turismodevigo/files/lug235.jpg;422.049.814.680.749;-877.851.888.587.136;;es-ES
8599;Espedrigada;lugares;44;Playas;;36212;;;Playa de arena fina y resguardada con una ocupación media en la época de verano. Su longitud aproximada es de 75 metros.;http://www.turismodevigo.org/sites/turismodevigo/files/lug234.jpg;422.194.375.230.757;-877.704.552.053.948;;es-ES
8598;A Sobreira;lugares;44;Playas;;36390;;;Playa de arena fina, resguardada del viento y con una ocupación media en la época de verano. Su longitud aproximada es de 200 metros.;http://www.turismodevigo.org/sites/turismodevigo/files/lug233.jpg;421.900.904.979.595;-880.888.061.101.316;;es-ES
8588;Espiñeiro;lugares;44;Playas;O Espiñeiro;36207;;;Playa de arena fina, resguardada del viento y con una ocupación baja en la época de verano. Su longitud aproximada es de 35 metros.;http://www.turismodevigo.org/sites/turismodevigo/files/lug223.jpg;422.535.860.581.348;-870.502.424.222.812;;es-ES
8589;Fontán ou Muiños;lugares;44;Playas;;36392;;;Playa de arena fina, resguardada del viento y con una ocupación baja en la época de verano. Su longitud aproximada es de 50 metros.;http://www.turismodevigo.org/sites/turismodevigo/files/lug224.jpg;421.653.152.704.122;-881.765.892.120.421;;es-ES
8587;Mende;lugares;44;Playas;;36216;;;Playa de arena fina, resguardada del viento y con una ocupación media en la época de verano. Su longitud aproximada es de 90 metros.;http://www.turismodevigo.org/sites/turismodevigo/files/lug222.jpg;422.632.641.196.779;-868.094.457.281.179;;es-ES
8586;A Punta;lugares;44;Playas;;36207;;;Playa de unos 200 metros de longitud galardonada con bandera azul. Es un arenal resguardado ideal para el baño.;http://www.turismodevigo.org/sites/turismodevigo/files/lug221.jpg;422.599.407.888.135;-869.706.639.557.289;;es-ES
8585;O Adro;lugares;44;Playas;;36208;;;Playa de arena fina, resguardada del viento y con una ocupación media en la época de verano. Su longitud aproximada es de 450 metros.;http://www.turismodevigo.org/sites/turismodevigo/files/lug220.jpg;422.263.713.722.495;-875.417.957.651.922;;es-ES
8584;Carril;lugares;44;Playas;A Igrexa;36202;;;Playa de arena fina, resguardada aunque en ocasiones puede presentar un oleaje moderado. Tiene una ocupación baja en la época de verano. Su longitud aproximada es de 600 metros y está galardonada con la bandera azul.;http://www.turismodevigo.org/sites/turismodevigo/files/lug219.jpg;422.233.016.181.718;-876.369.572.334.447;;es-ES
8583;Santa Baia;lugares;44;Playas;;36202;;;Playa de arena fina, resguardada del viento y con una ocupación media en la época de verano. Su longitud aproximada es de 230 metros.;http://www.turismodevigo.org/sites/turismodevigo/files/lug218.jpg;422.230.587.864.556;-876.730.337.341.949;;es-ES
8572;Barreiros;lugares;44;Playas;;36390;;;Playa abierta con una ocupación baja en la época de verano debido a su oleaje moderado. Su longitud aproximada es de 100 metros de arena blanca y fina.;;421.804.114.421.056;-881.252.570.666.434;;es-ES
8573;Praia do Vao;lugares;44;Playas;Fontenla;36391;;;Playa de arena fina, resguardada del viento y con una ocupación alta en la época de verano. Su longitud aproximada es de 800 metros y está galardonada con la bandera azul.;http://www.turismodevigo.org/sites/turismodevigo/files/lug208.jpg;421.979.756.649.772;-879.368.501.672.135;;es-ES
8574;A Sirenita;lugares;44;Playas;Breadouro;36391;;;Su forma es en concha, con base de arena de color blanco y grano fino. Playa resguardada, vigilada y con zona para fondeo de embarcaciones.;http://www.turismodevigo.org/sites/turismodevigo/files/lug209.jpg;421.996.303.116.164;-878.676.529.052.567;;es-ES
8575;O Fechiño;lugares;44;Playas;A Carrasqueiro;36391;;;Playa de arena fina, resguardada del viento y con una ocupación alta en la época de verano. Su longitud aproximada es de 100 metros y está galardonada con la bandera azul.;http://www.turismodevigo.org/sites/turismodevigo/files/lug210.jpg;422.008.825.822.571;-878.443.554.241.418;;es-ES
8576;As Barcas;lugares;44;Playas;;36391;;;Playa de arena fina, resguardada del viento y con una ocupación alta en la época de verano. Su longitud aproximada es de 175 metros y está galardonada con la bandera azul.;http://www.turismodevigo.org/sites/turismodevigo/files/lug211.jpg;422.031.476.719.644;-878.154.225.124.243;;es-ES
8577;Samil;lugares;44;Playas;Samil;36212;;;Tiene forma de concha, la arena es de color blanco y grano fino. Está resguardada aunque es algo ventosa y de oleaje moderado.  Se puede acceder a la misma mediante la línea de autobuses urbanos con dirección a Samil.;http://www.turismodevigo.org/sites/turismodevigo/files/lug212.jpg;422.098.022.109.307;-877.610.577.844.538;;es-ES
8579;O Tombo do Gato o De la Fuente;lugares;44;Playas;;36212;;;Playa de arena fina, resguardada del viento y con una ocupación alta en la época de verano. Está galardonada con la bandera azul.;http://www.turismodevigo.org/sites/turismodevigo/files/lug214.jpg;422.201.378.061.408;-87.759.250.068.458;;es-ES
8580;As Fontes;lugares;44;Playas;A Ameixeira;36212;;;Playa de arena fina, resguardada del viento y con una ocupación alta en la época de verano. Su longitud aproximada es de 150 metros y está galardonada con la bandera azul.;http://www.turismodevigo.org/sites/turismodevigo/files/lug215.jpg;422.225.208.347.114;-877.294.785.342.439;;es-ES
8581;A Mourisca o Los Olmos;lugares;44;Playas;A Fonte;36202;;;Playa de arena fina, resguardada del viento y con una ocupación alta en la época de verano. Su longitud aproximada es de 150 metros y está galardonada con la bandera azul.;http://www.turismodevigo.org/sites/turismodevigo/files/lug216.jpg;422.241.000.421.769;-877.081.337.872.295;;es-ES
8582;O Cocho;lugares;44;Playas;Alcabre;36202;;;Playa de arena fina, resguardada del viento y con una ocupación media en la época de verano. Su longitud aproximada es de 250 metros y está galardonada con la bandera azul.;http://www.turismodevigo.org/sites/turismodevigo/files/lug217.jpg;422.242.532.733.066;-876.939.093.790.816;;es-ES
8571;Canto de Area;lugares;44;Playas;;36390;;;Playa abierta con una ocupación baja en la época de verano debido a su oleaje moderado. Su longitud aproximada es de 120 metros de arena blanca y fina.;http://www.turismodevigo.org/sites/turismodevigo/files/lug206.jpg;421.822.614.861.385;-881.270.046.350.073;;es-ES
8570;Toralla;lugares;44;Playas;Toralla;36391;;;Playa de arena fina, resguardada del viento y con una ocupación alta en la época de verano. Su longitud aproximada es de 200 metros y está galardonada con la bandera azul.;http://www.turismodevigo.org/sites/turismodevigo/files/lug205.jpg;422.002.158.366.033;-880.056.940.643.516;;es-ES
8564;O Portiño;lugares;44;Playas;O Portiño;36392;;;Playa de arena fina, resguardada del viento y con una ocupación alta en la época de verano. Su longitud aproximada es de 100 metros y está galardonada con la bandera azul.;http://www.turismodevigo.org/sites/turismodevigo/files/lug199.jpg;421.680.025.976.903;-881.644.920.096.227;;es-ES
8565;Os Muiños;lugares;44;Playas;A Corveira;36392;;;Playa de arena fina, resguardada del viento y con una ocupación alta en la época de verano. Su longitud aproximada es de 150 metros y está galardonada con la bandera azul.;http://www.turismodevigo.org/sites/turismodevigo/files/lug200.jpg;421.746.370.574.708;-881.422.178.182.862;;es-ES
8566;Noivos;lugares;44;Playas;;36390;;;Playa abierta con una ocupación alta en la época de verano. Su longitud aproximada es de 100 metros de arena fina.;http://www.turismodevigo.org/sites/turismodevigo/files/lug201.jpg;421.759.935.972.656;-881.410.033.237.597;;es-ES
8567;Buraca;lugares;44;Playas;Oia;36390;;;Tiene forma de concha y su arena es de color blanco y grano fino. Playa resguardada, ventosa y con oleaje moderado lo que favorece la práctica del baño.;http://www.turismodevigo.org/sites/turismodevigo/files/lug202.jpg;421.899.040.543.099;-881.244.719.109.143;;es-ES
8568;O Fuchiño;lugares;44;Playas;Oia;36390;;;Playa de arena fina, resguardada del viento y con una ocupación alta en la época de verano. Su longitud aproximada es de 900 metros y está galardonada con la bandera azul.;http://www.turismodevigo.org/sites/turismodevigo/files/lug203.jpg;421.921.280.883.911;-880.277.164.069.544;;es-ES
8569;Canido;lugares;44;Playas;Canido;36390;;;Playa de arena fina, resguardada del viento y con una ocupación alta en la época de verano. Su longitud aproximada es de 300 metros y está galardonada con la bandera azul.;http://www.turismodevigo.org/sites/turismodevigo/files/lug204.jpg;421.938.500.750.542;-879.731.299.529.034;;es-ES
8578;Argazada;lugares;44;Playas;;36212;;;Playa de arena fina, resguardada del viento y con una ocupación alta en la época de verano. Su longitud aproximada es de 410 metros y está galardonada con la bandera azul.;http://www.turismodevigo.org/sites/turismodevigo/files/lug213.jpg;42.216.134.586.501;-877.597.442.099.225;;es-ES
